"id","short name","name","platform","our category","date release"
04a8137c-0de9-42d4-8959-f15ca2567862,12iB6,"12 is Better Than 6",Steam,steam,2015-11-19T17:00:00.000Z
05a600fd-cb56-4596-ae8f-7cb16518ae2f,2064ROM,"2064: Read Only Memories",Steam,steam,2015-10-05T17:00:00.000Z
9f966b78-ac85-46f7-81db-f5b7ed46147b,2DARK,2Dark,Steam,steam,2017-03-09T23:00:00.000Z
e822ec54-af46-46d6-af80-d6016bba984b,303SBOB,"303 Squadron: Battle of Britain (Incl. Early Access)",Steam,steam,2018-09-02T22:00:00.000Z
749bfcd4-e9bc-48b7-9d7c-35af1d3b4a34,3DPGVFX,"3D ParticleGen Visual FX",Steam,steam,2006-11-26T23:00:00.000Z
a3df8524-0152-4658-ab31-76721e901eac,3DRA,"3D Realms Anthology",Steam,steam,2015-05-04T22:00:00.000Z
554e3607-3daa-4731-a4e0-3dc43cc440c9,3SWD,3SwitcheD,Steam,steam,2012-03-08T23:00:00.000Z
0091e17d-ade7-4806-8d75-ea22b2192a55,7DTD,"7 Days to Die",Steam,steam,2013-12-12T23:00:00.000Z
f1420584-ca60-48c4-ad63-d327a2d6f275,8BAS,"8-Bit Armies",Steam,steam,2016-04-22T17:00:00.000Z
8e9311a4-7119-446b-ac22-b9b00a0f7eac,AFOG,"A Fistful of Gun",Steam,steam,2015-09-23T17:00:00.000Z
2fbd5868-28ec-418d-854a-0736db720c8a,GOD,"A Game of Dwarves",Steam,steam,2012-10-22T22:00:00.000Z
f4a41974-5373-4862-a5e7-9d28b8c2301f,AGOTG,"A Game of Thrones: Genesis",Steam,steam,2011-09-28T22:00:00.000Z
12b636bc-33cd-404b-a679-75219c95a778,ASAMU,"A Story About My Uncle",Steam,steam,2014-05-28T21:00:00.000Z
3162d993-705a-495b-a000-e1da701b97d2,AWO,"A Way Out",Origin,origin,2018-03-22T23:00:00.000Z
58439738-9dce-4441-afcb-f81cf957f6dd,AWOU,"A Way Out (Xbox One)","Xbox Live",xbox_live,2018-03-22T23:00:00.000Z
61d3a533-1b45-44ef-be52-efc8cb69ff85,ABRAIG,"ABRACA - Imagic Games",Steam,steam,2016-03-30T17:00:00.000Z
d0140c56-22eb-4c3f-8b99-7dd0bdb3c37d,ABZU,ABZU,Steam,steam,2016-08-01T17:00:00.000Z
b771a230-cd6e-4b64-ad3b-76a29dce4e53,AWSAODE,"Accel World vs. Sword Art Online (Deluxe Edition)",Steam,steam,2017-09-11T22:00:00.000Z
a1874f68-3da1-47c3-97ef-a68580ce2a52,ACAH,"Ace Combat: Assault Horizon (Enhanced Edition)",Steam,steam,2013-01-24T23:00:00.000Z
063d72ce-f71e-45eb-964c-a7f3bab54606,AOA,"Act of Aggression",Steam,steam,2015-09-01T22:00:00.000Z
1ac06510-f26a-402d-b689-9f99fa6ae33f,AOWHT,"Act of War: High Treason",Steam,steam,2006-05-29T17:00:00.000Z
702a7cd4-76eb-4087-aa46-d74d155e1206,ACTH,"Action Henk",Steam,steam,2015-05-11T17:00:00.000Z
0f1962de-82d0-4bed-a7f7-8b3de0be146c,ASVC,"Adam's Venture Chronicles",Steam,steam,2015-08-02T22:00:00.000Z
05944fc0-489f-4643-91a8-1d73e5395bc8,ADR1FT,Adr1ft,Steam,steam,2016-03-27T22:00:00.000Z
27c81745-98e2-4060-b055-e6318dc65126,AERMO,"AER: Memories of Old",Steam,steam,2017-10-24T22:00:00.000Z
583cee91-1913-4e9d-b51d-e27083420001,AOE2HD,"Age of Empires II HD",Steam,steam,2013-04-08T22:00:00.000Z
a47c6b5c-eaf9-4391-8b7a-b6eb170427c3,AOE2HF,"Age of Empires II HD - The Forgotten (DLC)",Steam,steam,
73ec8419-d355-4c50-b290-f9a103c810ce,AOE3CC,"Age of Empires III (Complete Collection)",Steam,steam,2005-10-17T22:00:00.000Z
27f2f018-83fd-4c70-b8c7-12e8e0beacff,AOEDE,"Age of Empires: Definitive Edition","Windows Store",windows_store,2018-02-19T23:00:00.000Z
5f477f99-acc0-435e-aee1-866bf4340fab,AMEE,"Age of Mythology (Extended Edition)",Steam,steam,2014-05-07T22:00:00.000Z
0a7176af-2ea2-4e16-ab86-f1dbc8516319,AOS,"Age of Survival",Steam,steam,2015-08-25T17:00:00.000Z
